Compound_SMILES	Compound_InchiKeys	Compound_Name	UniProt_Id	Entrez_Gene_Symbol	DiscoveRx_Gene_Symbol	pKd_[M]_pred
CS(=O)(=O)Nc1cccc(c1)-c1ccc2c(NC(=O)C3CC3)n[nH]c2c1	FUQAHBLEGDXXKS-UHFFFAOYSA-N	SB-742864	Q2M2I8	AAK1	AAK1	6.504974888
CC(C)OC(N(CC1)CCN1C2=NC3=C(C4=CN=C(C(F)(F)F)C=C4)C=NN3C=C2)=O	NDDGTHBFQLPYJL-UHFFFAOYSA-N	NK-92	Q2M2I8	AAK1	AAK1	5.985112389
O=S(NC1=CC(C2=CC=C(C(NC(C3CC3)=O)=NN4)C4=C2)=CC=C1)(N(CC)CC)=O	UCBIQZUJJSVQHL-UHFFFAOYSA-N	UNC-AA-1-0013	Q2M2I8	AAK1	AAK1	6.200431451
O=C(C1CC1)NC2=NNC3=C2C=CC(C4=CC=CC(NS(N(C)CC)(=O)=O)=C4)=C3	NKCMEGZSWOVKIL-UHFFFAOYSA-N	UNC-AA-1-0017	Q2M2I8	AAK1	AAK1	6.134957465
[nH]1c2c(c(c1)C(=O)NC)cc(cc2)Nc3nc(ccn3)-c4ncccc4	YNYMPWKHPFKBTO-UHFFFAOYSA-N	BI01078627	P00519	ABL1	ABL1-nonphosphorylated	6.795002155
NS(=O)(=O)c1cccc(c1)-c1cc2ccncc2cc1OCc1ccccc1	WFQYBHCSVMMJEF-UHFFFAOYSA-N	GSK980961A	P36896	ACVR1B	ACVR1B	5.007201393
ClC1=CC=C(F)C(C2=NC(N=CC=N3)=C3C(NC4=CC=NC=C4)=N2)=C1	BERLXWPRSBJFHO-UHFFFAOYSA-N	SD-208	P36896	ACVR1B	ACVR1B	5.915688445
COC(=O)Nc1nc2ccc(cc2[nH]1)S(=O)(=O)c1ccc(NC(=O)Nc2cc(ccc2F)C(F)(F)F)cc1	RJOBEDHRAOYOQX-UHFFFAOYSA-N	GW680908A	P25098	ADRBK1	GRK2	4.72701393
COc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1	RARTTYYZTRKYDS-UHFFFAOYSA-N	GI261520A	P31751	AKT2	AKT2	5.059698148
O=S(C2=CC=CC1=CN=CC=C12)(NCCNC/C=C/C3=CC=C(Br)C=C3)=O	ZKZXNDJNWUTGDK-NSCUHMNNSA-N	H89	P31751	AKT2	AKT2	4.986829026
CC(C)OC(N(CC1)CCN1C2=NC3=C(C4=CN=C(C(F)(F)F)C=C4)C=NN3C=C2)=O	NDDGTHBFQLPYJL-UHFFFAOYSA-N	NK-92	Q8NFD2	ANKK1	ANKK1	5.755084385
ClC1=CC(NC2=NC=CC(NCCCN3CCOCC3)=N2)=CC=C1	XEEXZIORUKKBII-UHFFFAOYSA-N	DI00625271	Q9UQB9	AURKC	AURKC	5.46342342
s1c(nc3c1-c2n(nc(c2C(C3)C)-c4cnc(cc4)NCC)-c5c(cccc5)C)NC(=O)OC	FQXPXUGHKSKDIL-UHFFFAOYSA-N	BI00857480	Q9NSY1	BMP2K	BIKE	5.84180412
CS(=O)(=O)Nc1cccc(c1)-c1ccc2c(NC(=O)C3CC3)n[nH]c2c1	FUQAHBLEGDXXKS-UHFFFAOYSA-N	SB-742864	Q9NSY1	BMP2K	BIKE	6.16580217
CC(C)OC(N(CC1)CCN1C2=NC3=C(C4=CN=C(C(F)(F)F)C=C4)C=NN3C=C2)=O	NDDGTHBFQLPYJL-UHFFFAOYSA-N	NK-92	Q9NSY1	BMP2K	BIKE	5.956044017
O=S(NC1=CC(C2=CC=C(C(NC(C3CC3)=O)=NN4)C4=C2)=CC=C1)(N(CC)CC)=O	UCBIQZUJJSVQHL-UHFFFAOYSA-N	UNC-AA-1-0013	Q9NSY1	BMP2K	BIKE	5.989370878
O=C(C1CC1)NC2=NNC3=C2C=CC(C4=CC=CC(NS(N(C)CC)(=O)=O)=C4)=C3	NKCMEGZSWOVKIL-UHFFFAOYSA-N	UNC-AA-1-0017	Q9NSY1	BMP2K	BIKE	5.910200899
O=C(C1CC1)NC2=NNC3=C2C=CC(C4=CC=CC(NS(CC(C)C)(=O)=O)=C4)=C3	SENOTLIGBLGKGP-UHFFFAOYSA-N	UNC-AA-1-0022	Q9NSY1	BMP2K	BIKE	6.31965509
NS(=O)(=O)c1cccc(c1)-c1cc2ccncc2cc1OCc1ccccc1	WFQYBHCSVMMJEF-UHFFFAOYSA-N	GSK980961A	P36894	BMPR1A	BMPR1A	4.698939028
Fc1c(c(ccc1NS(=O)(=O)CCC)F)-n2nnc(c2)-c3cncc(c3)OC	PBZQXUCHRRZRTF-UHFFFAOYSA-N	BI00865461	P15056	BRAF	BRAF	5.38719275
S(=O)(=O)(N1CCC(CC1)Oc3c(cc2ncnc(c2c3)N[C@H](C)c4ccccc4)OC)C	HNCQUOKLTSGCPT-MRXNPFEDSA-N	BI00010951	Q8IWQ3	BRSK2	BRSK2	5.237685731
NS(=O)(=O)c1ccc(Nc2cc(n[nH]2)-c2cccc(O)c2)cc1	PVLOKYREDKFWTF-UHFFFAOYSA-N	GW831090X	Q8IWQ3	BRSK2	BRSK2	5.195561325
COc1ccc(cc1)-c1nn2ncccc2c1-c1ccnc(Nc2cccc(c2)C(F)(F)F)n1	BWBYKJFTJZIURF-UHFFFAOYSA-N	GW827105X	O43683	BUB1	BUB1	6.601573471
CN1CCC(CNC(C=C2)=NN3C2=NC=C3C4=CC=CC(OC(F)(F)F)=C4)CC1	MHXGEROHKGDZGO-UHFFFAOYSA-N	SGI-1776	Q14012	CAMK1	CAMK1	5.132852177
s1c(nc3c1-c2n(nc(c2C(C3)C)-c4cnc(cc4)NCC)-c5c(cccc5)C)NC(=O)OC	FQXPXUGHKSKDIL-UHFFFAOYSA-N	BI00857480	Q16566	CAMK4	CAMK4	5.586763112
