Compound_SMILES,Compound_InchiKeys,Compound_Name,UniProt_Id,Entrez_Gene_Symbol,DiscoveRx_Gene_Symbol,pKd_[M]_pred
row_1,CS(=O)(=O)Nc1cccc(c1)-c1ccc2c(NC(=O)C3CC3)n[nH]c2c1,FUQAHBLEGDXXKS-UHFFFAOYSA-N,SB-742864,Q2M2I8,AAK1,AAK1,6.504974888
row_2,CC(C)OC(N(CC1)CCN1C2=NC3=C(C4=CN=C(C(F)(F)F)C=C4)C=NN3C=C2)=O,NDDGTHBFQLPYJL-UHFFFAOYSA-N,NK-92,Q2M2I8,AAK1,AAK1,5.985112389
row_3,O=S(NC1=CC(C2=CC=C(C(NC(C3CC3)=O)=NN4)C4=C2)=CC=C1)(N(CC)CC)=O,UCBIQZUJJSVQHL-UHFFFAOYSA-N,UNC-AA-1-0013,Q2M2I8,AAK1,AAK1,6.200431451
row_4,O=C(C1CC1)NC2=NNC3=C2C=CC(C4=CC=CC(NS(N(C)CC)(=O)=O)=C4)=C3,NKCMEGZSWOVKIL-UHFFFAOYSA-N,UNC-AA-1-0017,Q2M2I8,AAK1,AAK1,6.134957465
row_5,[nH]1c2c(c(c1)C(=O)NC)cc(cc2)Nc3nc(ccn3)-c4ncccc4,YNYMPWKHPFKBTO-UHFFFAOYSA-N,BI01078627,P00519,ABL1,ABL1-nonphosphorylated,6.795002155
row_6,NS(=O)(=O)c1cccc(c1)-c1cc2ccncc2cc1OCc1ccccc1,WFQYBHCSVMMJEF-UHFFFAOYSA-N,GSK980961A,P36896,ACVR1B,ACVR1B,5.007201393
row_7,ClC1=CC=C(F)C(C2=NC(N=CC=N3)=C3C(NC4=CC=NC=C4)=N2)=C1,BERLXWPRSBJFHO-UHFFFAOYSA-N,SD-208,P36896,ACVR1B,ACVR1B,5.915688445
row_8,COC(=O)Nc1nc2ccc(cc2[nH]1)S(=O)(=O)c1ccc(NC(=O)Nc2cc(ccc2F)C(F)(F)F)cc1,RJOBEDHRAOYOQX-UHFFFAOYSA-N,GW680908A,P25098,ADRBK1,GRK2,4.72701393
row_9,COc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,RARTTYYZTRKYDS-UHFFFAOYSA-N,GI261520A,P31751,AKT2,AKT2,5.059698148
row_10,O=S(C2=CC=CC1=CN=CC=C12)(NCCNC/C=C/C3=CC=C(Br)C=C3)=O,ZKZXNDJNWUTGDK-NSCUHMNNSA-N,H89,P31751,AKT2,AKT2,4.986829026
